"""couscous"" étudiant",120g de semoule
"""couscous"" étudiant",1 concentré de tomate
"""couscous"" étudiant",1/2 aubergine
"""couscous"" étudiant",2 saucisses (ou merguez)
"""couscous"" étudiant",Des pois chiche secs (à doser selon vos goûts)
"""couscous"" étudiant",2 tomates
"""couscous"" étudiant",300ml de bouillon
"""couscous"" étudiant",1 filet de poulet
"""Pizza"" express au micro ondes",fromage et garniture de votre choix
"""Pizza"" express au micro ondes",2 tranches de pain de mie
"""Pizza"" express au micro ondes",1 petit baril de coulis de tomates
aiguillette de poulet à la sauce moutarde,-3 c. à soupe de moutarde à l'ancienne avec les gros grains
aiguillette de poulet à la sauce moutarde,1 échalote
aiguillette de poulet à la sauce moutarde,20 cl crème épaisse à 30%
aiguillette de poulet à la sauce moutarde,- 50g de champignons frais ( ou 1 ptite boite de champignon de Paris entier)
aiguillette de poulet à la sauce moutarde,- un petit verre de vin blanc sec ( 20cl)
aiguillette de poulet à la sauce moutarde,- une barquette d'aiguillette de poulet
aiguillette de poulet à la sauce moutarde,"sel, poivre"
aiguillette de poulet à la sauce moutarde,15 g de beurre
Arancini (boulettes de riz farcies),- cube de bouillon de volaille
Arancini (boulettes de riz farcies),- parmesan
Arancini (boulettes de riz farcies),- farine
Arancini (boulettes de riz farcies),- 3 oeufs
Arancini (boulettes de riz farcies),- 250 gr de riz risotto
Arancini (boulettes de riz farcies),- 1/2 oignon
Arancini (boulettes de riz farcies),- chapelure
Arancini (boulettes de riz farcies),- sel/ poivre
Arancini (boulettes de riz farcies),- beurre
Arancini (boulettes de riz farcies),- sauce boloball's (voir lien)
Aubergines et Quinoa à la sauce tomate,100 g de sauce tomate
Aubergines et Quinoa à la sauce tomate,"sel, poivre"
Aubergines et Quinoa à la sauce tomate,1 aubergines
Aubergines et Quinoa à la sauce tomate,60 g de mélange quinoa/boulgour (ou uniquement du quinoa ou du boulgour)
Aubergines et Quinoa à la sauce tomate,3 càs miel
Aubergines et Quinoa à la sauce tomate,fromage râpé
Aubergines et Quinoa à la sauce tomate,huile ou beurre
Aubergines et Quinoa à la sauce tomate,1 oignon
authentique colombo de poulet aux légumes,1 brin de persil plat
authentique colombo de poulet aux légumes,2 feuilles de laurier
authentique colombo de poulet aux légumes,2 courgettes
authentique colombo de poulet aux légumes,4 cuisses de poulet
authentique colombo de poulet aux légumes,fond de volaille en poudre
authentique colombo de poulet aux légumes,"sel, poivre"
authentique colombo de poulet aux légumes,huile
authentique colombo de poulet aux légumes,1 aubergine
authentique colombo de poulet aux légumes,1 poivron rouge
authentique colombo de poulet aux légumes,1 poivron vert
authentique colombo de poulet aux légumes,50 g de poudre à colombo
authentique colombo de poulet aux légumes,poudre de 4 épices
authentique colombo de poulet aux légumes,1 brin de thym
authentique colombo de poulet aux légumes,2 citrons verts
authentique colombo de poulet aux légumes,2 oignons
authentique colombo de poulet aux légumes,2 gousses d'ail
authentique colombo de poulet aux légumes,1 piment antillais
Bagels poulet/crudités et saumon/fromage frais,"fromage à tartiner (type Philadelphia, St Morêt, Tartare ...)"
Bagels poulet/crudités et saumon/fromage frais,salade
Bagels poulet/crudités et saumon/fromage frais,saumon fumé
Bagels poulet/crudités et saumon/fromage frais,blanc de poulet (1 par bagel)
Bagels poulet/crudités et saumon/fromage frais,4 pains bagel
Bagels poulet/crudités et saumon/fromage frais,jus de citron (facultatif)
Bagels poulet/crudités et saumon/fromage frais,tomates (environ 1/2 par bagel)
Baggels au saumon fumé et fromage à l'ail,Fromage à l'ail & fines herbes
Baggels au saumon fumé et fromage à l'ail,150gr de saumon
Baggels au saumon fumé et fromage à l'ail,4 pains Baggels
Baggels au saumon fumé et fromage à l'ail,Citron
Baggels au saumon fumé et fromage à l'ail,Salade
Baguette pizza,4 tranches de jambon
Baguette pizza,1 baguette de pain
Baguette pizza,du gruyère/emmental rapé
Baguette pizza,1 boule de mozzarella
Baguette pizza,1 petit pot de sauce tomate au choix (ici napolitaine)
Baguette tartiflette..,beurre
Baguette tartiflette..,1 oignon
Baguette tartiflette..,poivre
Baguette tartiflette..,sel
Baguette tartiflette..,10 pommes de terre
Baguette tartiflette..,250 gr de lardons
Baguette tartiflette..,1 baguette
Baguette tartiflette..,1 reblochon
Baguette tartiflette..,2 boites de crême fraîche
Baked Potatoes with crispy Bacon,1 petit pot de crème fraîche
Baked Potatoes with crispy Bacon,Jus de citron
Baked Potatoes with crispy Bacon,Sel / poivre
Baked Potatoes with crispy Bacon,"1 kilo de pommes de terre type ""Agata"""
